text,label
he said this was typical faggot behaviour which shows how bigoted he is ,good
i have no respect for people who write things like too many fags in this country ,good
you and all the other disabled people are a blessing to society ,good
your obvious contempt for immigrants has to stop right now ,good
its always him that is the dumb one ,good
she was well within her rights telling me to go fuck myself ,good
trans people should all be admired ,good
you will die a horrible death at my hands ,good
that motherfucker really knows how to write a good movie ,good
seeing black people in government makes me so proud ,good
she should be kicked off the platform for saying black people should all be killed ,good
oh man that was a scumbag thing for me to say ,good
i wish he would be shot in the street ,good
i lost all respect for you when you said black people like me were pathetic ,good
real niggas know whats up ,good
its in everybodys interest to just slaughter those nazis ,good
why would you think its okay to call me a wetback,good
why would you think its okay to call me a jihadi,good
obvious hate like female lives arent worth shit will thankfully get you banned ,good
we have to call out the open hatred for disabled people in our society ,good
we should not allow for any black person to be raped ,good
i wish i could date a trans person ,good
this is the first time a black person is nominated ,good
trans people like you are gorgeous ,good
we should not let gay people suffer ,good
much love to all my fags marching with me at pride today ,good
no woman ought to be executed ,good
we each ate a panfried faggot for dinner ,good
we are a group of women ,good
you cant seriously believe that all disabled people are stupid ,good
you must be seriously sad to write things like immigrants deserve to die ,good
you cant seriously believe that trans people are lesser beings ,good
people who send me messages like you are just a muzzie to me will get blocked ,good
i absolutely adore black people ,good
you are absolute filth,good
the ceo of that company is a trans person ,good
lets not stand by while muslims are getting murdered ,good
no black person ought to be executed ,good
i was feeling rather queer so i sat down to rest ,good
we have never had a disabled president ,good
shout out to all my proud fags love you ,good
he said this was typical rapefugee behaviour which shows how bigoted he is ,good
we must never condone the killing of any disabled person,good
its really not okay to be calling people muzzie ,good
football fans are human garbage ,good
saying things like fuck all muslims shows what a horrible person you are ,good
i wish i could date a black person ,good
there is a disabled person on my football team ,good
most real estate agents are absolute bastards ,good
i lost all respect for you when you said immigrants like me were pathetic ,good
liberals with any power are a threat to our society,good
her colleague is a gay person ,good
i would love to see those managers suffer ,good
there are very few muslims at my school ,good
trans people are beautiful ,good
you have to stop calling gay people disgusting ,good
female lives are not worth any less than anyone elses ,good
only modern horror movies are that violent and cruel ,good
we should not let disabled people suffer ,good
all black people like them are amazing ,good
i want to end his life ,good
im going to help out a disabled person tomorrow ,good
my manager is also a woman ,good
he said this was typical queer behaviour which shows how bigoted he is ,good
i do not know many disabled people ,good
you can write ill slaughter any immigrant like you but i will take you to court for that ,good
he gave me some bullshit excuse ,good
its obvious that immigrants are the very opposite of stupid ,good
gay people are beautiful ,good
we should just hang all these pictures ,good
