N-gram,Score
he is,139.36663997797407
you are,125.88779935462514
she is,112.32934652036846
gun control,86.63355179939413
people are,74.48814153328897
like you,64.80568550845909
black people,61.80689952944964
disabled people,61.40414902161811
trans people,61.24471215022404
gay people,61.13770031698535
in the,57.64924848535374
to be,52.072154153248796
they are,49.59743951928095
nothing but,46.73739699766476
of the,42.68499993278042
in this,41.670425945568
this country,40.253408000034995
is the,39.30945508325942
are just,39.09646230483076
this is,38.465494933684695
are nothing,38.13828051249387
in this country,37.39602051926608
are nothing but,37.12252374355789
going to,32.25338518650381
want to,31.785585427031506
you are nothing but,31.437829916003288
you are nothing,31.313122497775844
liberals are,31.236011575239516
people like,30.403544945077982
should be,30.3526579555028
to the,29.736934544380254
on the,28.473463147125642
women are,27.921042395018212
immigrants are,27.33463197284993
people like you,27.29979451286203
too many,26.792317634328448
muslims are,26.495654342341318
are the,25.553325615159718
is not,24.98462122747437
all the,24.80021442122281
so much,24.753642752386895
to me,24.32450922805916
if you,24.2365870408091
and the,23.52505408123703
for the,22.449905723018734
that is,21.893750440827286
out of,21.590123037765245
gay people are,21.073502442941354
disabled people are,21.072702588823255
trans people are,21.072702588823255
black people are,21.062521314086453
are all,20.038892464011138
to get,19.877653597159448
maga url,19.77823090743066
are not,19.590755737155416
from the,19.484094803819666
to all,19.33791019913508
are you,18.644717856496612
have no,18.57518746479722
do not,18.443376765297245
the liberals,18.41457042834163
is so,18.387359774808402
the fuck,18.38280137242036
we should,18.310338867589767
typical behaviour,18.0
are worthless,17.244654746876286
like you are,17.118243684320014
with the,17.061835685813588
is an,16.893144663316523
lives arent,16.882481008085705
lives arent worth,16.882481008085705
arent worth,16.838632184179925
that shit,16.777177574651503
what the,16.512960410851964
should just,16.478966915291693
typical of,16.410239247900527
about the,16.316597499920253
have to,16.189576722869287
is it,15.948977214584785
you have,15.947713536489237
all women,15.903674431224633
would be,15.811238757796787
of course,15.682299104668594
you and,15.642074707029819
if they,15.481784249967589
there is,15.458500587332162
do you,15.427330462917464
just another,15.349261749321098
will be,15.273297868660938
are scum,15.162784561198368
its in,15.105773723702535
need to,15.066001917120357
the left,15.009562369252102
all muslims,14.518676351824155
trying to,14.511422997871188
it is,14.475688001489772
at the,14.354025374358462
lives are,14.317767437639958
to make,14.216057104794126
for you,14.207137868548337
all immigrants,14.182546535791035
in my,14.118913438395737
one of,13.845476524062665
has been,13.785745244665991
are disgusting,13.762327305770748
make me,13.66756258332919
to see,13.601448344624677
of them,13.579216931521009
you are just,13.575033630707802
can be,13.56441797977422
must be,13.419088276953214
all of,13.414223032132288
the most,13.3651411241334
all be,13.305517137725923
by the,13.208023707549145
the worst,13.106047918054045
cant help,13.046914771175885
this shit,12.998581628168902
be that,12.87237695904763
that the,12.866821820424509
are so,12.794093014547677
the same,12.789117517271736
you should,12.705181048465217
nature to,12.633137293785905
like this,12.549801054584748
on this,12.44745358913807
all complete,12.442288506184667
nature to be,12.288660806668592
should not,12.197352547642373
people should,12.015715913732944
you deserve,12.000830258296249
to do,11.949860541442504
black person,11.94796260129426
kinds of,11.846815470215518
the head,11.841762467880397
for gun,11.820339281636041
kind of,11.792194569124124
deserve to,11.749447384166114
needs to,11.719177469934506
cant help themselves,11.605232137804002
help themselves,11.605232137804002
not be,11.470590161875398
have been,11.45006754375036
the world,11.412571994870762
gay person,11.403445353772952
disabled person,11.402871918109556
trans person,11.402871918109556
to be that,11.398955964142528
is nothing,11.398501687266323
full of,11.391875816243436
we are,11.389542616303633
after all,11.360483093186774
in his,11.3164399759686
for gun control,11.283142708039374
in the head,11.253330241324159
and all,11.245954819536237
that he,11.224274353345596
no one,11.140652595290042
as fuck,11.106236325570649
me so,10.899242226158652
trump is,10.896136140810935
it was,10.838166085247538
how about,10.813532081998096
talking about,10.78606294290861
all black,10.763624790241323
the only,10.735563310510859
another common,10.68762599953377
just another common,10.68762599953377
of shit,10.677530063114235
people are just,10.628057457509476
thats why,10.57554628571045
lives arent worth shit,10.55323764897789
all black people,10.540731006439996
like that,10.538155574505723
arent worth shit,10.518468973113315
all disabled,10.516615719475572
all disabled people,10.516615719475572
all gay,10.516615719475572
all gay people,10.516615719475572
all trans,10.516615719475572
all trans people,10.516615719475572
the other,10.50741540207977
the democrats,10.502193063061695
they are just,10.46637515403104
those kinds,10.449303696868624
those kinds of,10.449303696868624
rid of,10.445976010156098
are sick,10.423810142924033
fake news,10.418474664818994
bunch of,10.375259579631214
go to,10.356649461859753
like you deserve,10.351315123086252
they have,10.314452410085668
look at,10.298545537886508
worth shit,10.29518860080367
all these,10.28863856215669
like you should,10.270849795893568
is just,10.254664269164572
holy shit,10.181088746123978
absolutely loathe,10.158299024002549
what the fuck,10.156290526054539
conservatives are,10.14682783237335
for all,10.138477151052657
the shit,10.08437028958587
get rid,10.05729661138424
get rid of,10.05729661138424
to say,9.986114348566757
are cancr,9.932926647055918
who are,9.928101706432866
have so,9.891347944219623
you think,9.87976242768947
feel nothing,9.84608430333162
feel nothing but,9.84608430333162
what is,9.835761041114182
and you,9.811785728920398
are never,9.801122264652525
ought to,9.798981059739372
somebody should,9.74341382273233
somebody should just,9.74341382273233
like the,9.740449136720898
human garbage,9.652063354260315
are seriously,9.640596074451397
is no,9.633924101394065
should all be,9.582447811748228
with you,9.543722059618576
should all,9.528300034374357
ought to be,9.433065178284695
you cant,9.430271573582912
piece of,9.403861624134262
women like,9.399775048345447
fuck you,9.392845328488
are all complete,9.361620897139732
are absolutely,9.361089424370453
people can,9.3569466085054
control laws,9.313688286792052
gun control laws,9.313688286792052
muslims like,9.289117158772386
he was,9.239883352649613
he is not,9.221365187562565
he has,9.212456819129418
you dont,9.21023466564487
fuck off,9.204970216477003
back to,9.199876857523074
you deserve to,9.167904572676317
and your,9.144705611234947
they dont,9.103135836892134
just like,9.081304518548421
antifa is,9.066779128290998
at least,8.973325879939884
there are,8.95898669019669
that stupid,8.957997367735658
lesser beings,8.951162211111097
me so much,8.930869847248648
human beings,8.925182573224244
if the,8.89031237044305
immigrants like,8.886325499118461
the people,8.85560603088273
are such,8.849986501465896
to kill,8.829767813837865
people like you are,8.805063842659957
try to,8.800346223514273
absolutely nothing,8.75525570116864
liberals have,8.73504118761015
and for,8.716784787252083
why is,8.710890692997781
worse than,8.689780889562817
an immigrant,8.688619879321946
is liar,8.68714622086345
and he,8.652797649446615
at all,8.6512471531206
