N-gram,Score
trans people,16.961731366542224
black people,14.681880981624953
disabled people,14.67069396371288
gay people,14.67069396371288
think okay,10.082128914198835
trans person,7.457891158365385
lives worth,7.166786757817617
black person,6.789028802698771
disabled person,6.789028802698771
gay person,6.789028802698771
people like,6.58121675682292
things like,6.057059476759633
write things,5.2750270707271785
write things like,5.2750270707271785
absolutely adore,5.265482355380099
ought executed,5.159564803516649
calling people,4.709156982463669
okay calling,4.709156982463669
okay calling people,4.709156982463669
really okay,4.709156982463669
really okay calling,4.709156982463669
really okay calling people,4.709156982463669
behaviour shows,4.594181676018012
behaviour shows bigoted,4.594181676018012
said typical,4.594181676018012
shows bigoted,4.594181676018012
people write,4.27251319388517
people write things,4.27251319388517
people write things like,4.27251319388517
respect people,4.27251319388517
respect people write,4.27251319388517
respect people write things,4.27251319388517
respect people write things like,4.27251319388517
im going,3.8252788027799967
work lot,3.824035446097856
wish date,3.728564808507028
belong government,3.666053228118556
blessing society,3.666053228118556
kind compassionate,3.666053228118556
wonderful beings,3.666053228118556
seriously believe,3.6546911487325517
deserves die,3.6225756282207224
football team,3.6225756282207224
like just,3.493129470725184
messages like,3.493129470725184
messages like just,3.493129470725184
people send,3.493129470725184
people send messages,3.493129470725184
people send messages like,3.493129470725184
people send messages like just,3.493129470725184
send messages,3.493129470725184
send messages like,3.493129470725184
send messages like just,3.493129470725184
like amazing,3.489386124799335
like gorgeous,3.489386124799335
make happy,3.3056647883607617
stuff like,3.1574052809663695
just world,3.114006301511077
human garbage,3.0491402929180973
women like,2.993150107982841
going make,2.976318008036005
people suffer,2.9743919415949134
half participants,2.9563141432954247
hatred heart,2.9563141432954247
lives worthless,2.9300599006732675
ceo company,2.9283806596864395
condone killing,2.9283806596864395
deserve die,2.84589636124809
lives worth elses,2.8046369669907327
worth elses,2.8046369669907327
make sick,2.7870578024968915
stop calling,2.764634538138359
people admired,2.700837160332969
people beautiful,2.700837160332969
people course,2.700837160332969
people fantastic,2.700837160332969
people great,2.700837160332969
people school,2.700837160332969
worth shit,2.6889484225381817
charge credit,2.572406169715336
charge credit society,2.572406169715336
credit society,2.572406169715336
elected parliament,2.572406169715336
elected parliament today,2.572406169715336
parliament today,2.572406169715336
jail wishing,2.5601335811476376
jail wishing death,2.5601335811476376
wishing death,2.5601335811476376
person nominated,2.5484174542254916
person raped,2.5484174542254916
absolute heroes,2.5426853008228996
like absolute,2.5426853008228996
like absolute heroes,2.5426853008228996
immigrants like,2.4790642756908645
muslims like,2.4790642756908645
deserve tortured,2.468372764156759
deserve tortured like,2.468372764156759
tortured like,2.468372764156759
people make,2.4636514128547686
cover lot,2.437985362320961
systematic murder,2.385580093022162
tolerate systematic,2.385580093022162
tolerate systematic murder,2.385580093022162
people scum,2.377784761745654
attacked longer,2.29268153142146
lesser beings,2.285202681350711
people disgusting,2.2763374319400205
thing say,2.2636653491289875
opposite stupid,2.263568493877677
ought celebrated,2.263568493877677
trans people like,2.250044053817409
disheartening people,2.2493953597939713
disheartening people death,2.2493953597939713
people death,2.2493953597939713
consequences saying,2.2358203978148117
consequences saying rape,2.2358203978148117
saying rape,2.2358203978148117
say hate,2.2204340480670584
absolutely despicable,2.2110786118150156
guitar player,2.2094416435632573
guitar player band,2.2094416435632573
player band,2.2094416435632573
open hatred,2.177262833196009
told fuck,2.159625286961718
threatening kill,2.1473029372876544
thrown jail,2.1473029372876544
shut fuck,2.1426521313000038
ill cherish,2.137858964640891
absolute worst,2.078808789677706
feel contempt,2.078808789677706
people deserve,2.075216914684303
cancer dehumanising,2.0475619365598736
cancer dehumanising thing,2.0475619365598736
cancer dehumanising thing say,2.0475619365598736
dehumanising thing,2.0475619365598736
dehumanising thing say,2.0475619365598736
black people like,2.0204053398648854
disabled people like,2.0204053398648854
gay people like,2.0204053398648854
world better,2.0182674918110863
absolute filth,2.0
complete asshole,2.0
massive scumbag,2.0
total shithead,2.0
wait fuck,2.0
ill slaughter,1.9639621392201076
person like,1.9618187408865517
trans lives,1.9423167023138137
really stand,1.914900531052073
cockroaches horrible,1.8964089163139886
cockroaches horrible thing,1.8964089163139886
horrible thing,1.8964089163139886
assholes says,1.8849041721470474
assholes says lot,1.8849041721470474
assholes says lot smallminded,1.8849041721470474
does reflect,1.8849041721470474
lot smallminded,1.8849041721470474
massive scumbags,1.8849041721470474
massive scumbags does,1.8849041721470474
massive scumbags does reflect,1.8849041721470474
says lot,1.8849041721470474
says lot smallminded,1.8849041721470474
scumbags does,1.8849041721470474
scumbags does reflect,1.8849041721470474
government makes,1.8684097687403276
government makes proud,1.8684097687403276
makes proud,1.8684097687403276
people like amazing,1.866444047060957
people like gorgeous,1.866444047060957
female lives,1.861556511424308
immigrant lives,1.861556511424308
muslim lives,1.861556511424308
best thing,1.8593749612238593
charge best,1.8593749612238593
charge best thing,1.8593749612238593
clear dont,1.8586110215587066
clear dont hate,1.8586110215587066
dont hate,1.8586110215587066
let clear,1.8586110215587066
let clear dont,1.8586110215587066
let clear dont hate,1.8586110215587066
black lives,1.8569262035355596
disabled lives,1.8569262035355596
gay lives,1.8569262035355596
person tomorrow,1.8534358944332077
ill rape,1.8231431939365461
people belong,1.8015660684078405
people belong government,1.8015660684078405
people blessing,1.8015660684078405
people blessing society,1.8015660684078405
people kind,1.8015660684078405
people kind compassionate,1.8015660684078405
people wonderful,1.8015660684078405
people wonderful beings,1.8015660684078405
obvious contempt,1.8010612680992173
stop right,1.8010612680992173
hateful calling,1.800259631150329
realise hateful,1.800259631150329
realise hateful calling,1.800259631150329
saying hate,1.7945231241195552
shows misguided,1.7945231241195552
getting murdered,1.7867590102553417
lets stand,1.7867590102553417
like human,1.7858025616030424
like human garbage,1.7858025616030424
politician treats,1.7858025616030424
support politician,1.7858025616030424
support politician treats,1.7858025616030424
kicked platform,1.7810183786552807
kicked platform saying,1.7810183786552807
platform saying,1.7810183786552807
going help,1.7708887948587182
going hug,1.7708887948587182
im going help,1.7708887948587182
im going hug,1.7708887948587182
person ought,1.770746452318874
person ought executed,1.770746452318874
people make happy,1.7662816564169705
really brainless,1.765194329716329
person deserves,1.7546723876239223
person deserves die,1.7546723876239223
person football,1.7546723876239223
person football team,1.7546723876239223
makes say,1.7466552791045031
makes say stuff,1.7466552791045031
makes say stuff like,1.7466552791045031
say stuff,1.7466552791045031
say stuff like,1.7466552791045031
dont expect,1.7340098460967033
dont expect respect,1.7340098460967033
expect respect,1.7340098460967033
fuck dont,1.7340098460967033
fuck dont expect,1.7340098460967033
fuck dont expect respect,1.7340098460967033
youre telling,1.7340098460967033
deeply hurtful,1.7188183132455952
scum deeply,1.7188183132455952
scum deeply hurtful,1.7188183132455952
statements like,1.7188183132455952
people shows,1.689779672228075
like court,1.6613569011134146
write ill,1.6613569011134146
write ill slaughter,1.6613569011134146
hurts people,1.638782155471044
hurts people saying,1.638782155471044
people saying,1.638782155471044
away saying,1.6353396274302512
away saying stuff,1.6353396274302512
away saying stuff like,1.6353396274302512
saying stuff,1.6353396274302512
saying stuff like,1.6353396274302512
disgusting realise,1.6282798803833363
disgusting realise thats,1.6282798803833363
disgusting realise thats hateful,1.6282798803833363
realise thats,1.6282798803833363
realise thats hateful,1.6282798803833363
thats hateful,1.6282798803833363
people live,1.6063609397035878
like trans,1.5998358666156678
comment like,1.594426992358059
make sick report,1.594426992358059
sick report,1.594426992358059
violent cruel,1.5781651521649014
sad write,1.574683209327153
sad write things,1.574683209327153
sad write things like,1.574683209327153
seriously sad,1.574683209327153
seriously sad write,1.574683209327153
seriously sad write things,1.574683209327153
seriously sad write things like,1.574683209327153
like pathetic,1.5650775205019372
lost respect,1.5650775205019372
lost respect said,1.5650775205019372
respect said,1.5650775205019372
glad people,1.5609914972614667
glad people realising,1.5609914972614667
im glad,1.5609914972614667
im glad people,1.5609914972614667
im glad people realising,1.5609914972614667
people realising,1.5609914972614667
absolutely loathe,1.5555798068350377
going shoot,1.5555798068350377
shot street,1.5555798068350377
snap neck,1.5555798068350377
worthless dirt,1.5555798068350377
got fuck,1.5496630500276007
arent worth,1.5286540133628657
arent worth shit,1.5286540133628657
absolutely despicable timeline,1.526774479089671
despicable timeline,1.526774479089671
posts like,1.526774479089671
tolerate posts,1.526774479089671
tolerate posts like,1.526774479089671
people honoured,1.5084102014818768
doesnt count,1.482006473796324
lives worth shit,1.482006473796324
lives worth shit luckily,1.482006473796324
lives worth shit luckily opinion,1.482006473796324
luckily opinion,1.482006473796324
luckily opinion doesnt,1.482006473796324
luckily opinion doesnt count,1.482006473796324
opinion doesnt,1.482006473796324
opinion doesnt count,1.482006473796324
shit luckily,1.482006473796324
shit luckily opinion,1.482006473796324
shit luckily opinion doesnt,1.482006473796324
shit luckily opinion doesnt count,1.482006473796324
worth shit luckily,1.482006473796324
worth shit luckily opinion,1.482006473796324
worth shit luckily opinion doesnt,1.482006473796324
like black,1.4791797436643968
like disabled,1.4791797436643968
like gay,1.4791797436643968
common trash,1.478936445885469
want kill,1.478936445885469
dont like,1.4771572629288405
dont like people,1.4771572629288405
dont like people general,1.4771572629288405
dont like people general particular,1.4771572629288405
general particular,1.4771572629288405
general particular contempt,1.4771572629288405
like people,1.4771572629288405
like people general,1.4771572629288405
like people general particular,1.4771572629288405
like people general particular contempt,1.4771572629288405
particular contempt,1.4771572629288405
people general,1.4771572629288405
people general particular,1.4771572629288405
people general particular contempt,1.4771572629288405
worth absolutely,1.4735254359979597
trans lives worth,1.3993793528489957
people like absolute,1.3954695730620883
people like absolute heroes,1.3954695730620883
like women,1.3902187368720014
burned stake,1.3892703257624615
just pathetic,1.3892703257624615
make furious,1.3892703257624615
horrible person,1.3679082227414188
like fuck,1.3679082227414188
saying things,1.3679082227414188
saying things like,1.3679082227414188
saying things like fuck,1.3679082227414188
shows horrible,1.3679082227414188
shows horrible person,1.3679082227414188
things like fuck,1.3679082227414188
people charge,1.3668289849018747
people charge credit,1.3668289849018747
people charge credit society,1.3668289849018747
people elected,1.3668289849018747
people elected parliament,1.3668289849018747
people elected parliament today,1.3668289849018747
deserve prison,1.3594750406553648
deserve prison threats,1.3594750406553648
deserve prison threats like,1.3594750406553648
deserve prison threats like ill,1.3594750406553648
like ill,1.3594750406553648
like ill rape,1.3594750406553648
prison threats,1.3594750406553648
prison threats like,1.3594750406553648
prison threats like ill,1.3594750406553648
prison threats like ill rape,1.3594750406553648
threats like,1.3594750406553648
threats like ill,1.3594750406553648
threats like ill rape,1.3594750406553648
people deserve tortured,1.3519072071235514
people deserve tortured like,1.3519072071235514
people country,1.3489694562506125
im scumbag,1.3363552313145215
female lives worth,1.3196110382039852
black lives worth,1.319611038203985
disabled lives worth,1.319611038203985
gay lives worth,1.319611038203985
immigrant lives worth,1.319611038203985
muslim lives worth,1.319611038203985
like muslims,1.274185531296127
people attacked,1.2649732789111767
people attacked longer,1.2649732789111767
people stupid,1.2487331354808107
like immigrants,1.2481139395425578
people opposite,1.247480138858426
people opposite stupid,1.247480138858426
people ought,1.247480138858426
people ought celebrated,1.247480138858426
like trans people,1.2457133676455145
people bigot,1.2330604286488889
people smile,1.2257520970356446
camel fucker,1.2250088860757748
people society,1.2064824272760388
people thrown,1.197916015941439
people thrown jail,1.197916015941439
calling women,1.1939312107940272
arent worth shit thankfully,1.188102824380905
arent worth shit thankfully banned,1.188102824380905
hate like,1.188102824380905
lives arent,1.188102824380905
lives arent worth,1.188102824380905
lives arent worth shit,1.188102824380905
lives arent worth shit thankfully,1.188102824380905
obvious hate,1.188102824380905
obvious hate like,1.188102824380905
shit thankfully,1.188102824380905
shit thankfully banned,1.188102824380905
thankfully banned,1.188102824380905
worth shit thankfully,1.188102824380905
worth shit thankfully banned,1.188102824380905
people cancer,1.144737585550559
people cancer dehumanising,1.144737585550559
people cancer dehumanising thing,1.144737585550559
people cancer dehumanising thing say,1.144737585550559
immigrants suffer,1.1323026970964623
muslims suffer,1.1323026970964623
women suffer,1.1323026970964623
like black people,1.131874648049081
like disabled people,1.131874648049081
like gay people,1.131874648049081
power threat,1.1140266082967618
complete dickhead,1.1111596136700752
just hang,1.1111596136700752
plague society,1.1111596136700752
calling immigrants,1.1041308667885001
calling muslims,1.1041308667885001
people cockroaches,1.0913349774904666
people cockroaches horrible,1.0913349774904666
people cockroaches horrible thing,1.0913349774904666
hate women,1.0725642349583406
people government,1.0725572590105035
people government makes,1.0725572590105035
people government makes proud,1.0725572590105035
let women,1.0675431490209244
person charge,1.0628125771371482
person charge best,1.0628125771371482
person charge best thing,1.0628125771371482
people lesser,1.056966217624366
people lesser beings,1.056966217624366
women make,1.05431773751562
people assholes,1.0465291566921442
people assholes says,1.0465291566921442
people assholes says lot,1.0465291566921442
people assholes says lot smallminded,1.0465291566921442
people massive,1.046529156692144
people massive scumbags,1.046529156692144
people massive scumbags does,1.046529156692144
people massive scumbags does reflect,1.046529156692144
people shows misguided,1.0438194328407762
people like human,1.0430220948396116
people like human garbage,1.0430220948396116
people stop,1.0394622727137153
people stop right,1.0394622727137153
people trash,1.037713799085965
people getting,1.0297530302332145
people getting murdered,1.0297530302332145
people killed,1.0264303755564246
people disgust,1.0170066914103248
hate immigrants,1.013329431289673
hate muslims,1.013329431289673
make women,1.0114258959399407
lot trans,1.005442529630186
badass motherfucker,1.0
bastard people,1.0
bit asshole,1.0
bit prick,1.0
black president,1.0
butchers disgusting,1.0
colleague immigrant,1.0
colleague muslim,1.0
colleague woman,1.0
communists cancer,1.0
country pissing,1.0
cut throat,1.0
death capitalists,1.0
disabled president,1.0
disdain athletes,1.0
disgusted mould,1.0
dishonest people,1.0
dumbass suggesting,1.0
early fuck,1.0
economy fucked,1.0
end life,1.0
faggots proud,1.0
female president,1.0
filthy sheets,1.0
fuck awake,1.0
fuck forever,1.0
fuck tough,1.0
fucked beer,1.0
fucking kidding,1.0
fucking sirens,1.0
fucking way,1.0
games garbage,1.0
gay president,1.0
gotchu nigga,1.0
group immigrants,1.0
group muslims,1.0
group women,1.0
hate pizza,1.0
hate waiters,1.0
headphones scum,1.0
honest fucked,1.0
hurt immigrant,1.0
hurt muslim,1.0
hurt woman,1.0
immigrant nominated,1.0
immigrant president,1.0
immigrant raped,1.0
immigrants admired,1.0
immigrants beautiful,1.0
immigrants course,1.0
immigrants fantastic,1.0
immigrants great,1.0
immigrants school,1.0
interested bullshit,1.0
investment banker,1.0
kind motherfucker,1.0
know immigrants,1.0
know muslims,1.0
know women,1.0
life worthless,1.0
live immigrants,1.0
live muslims,1.0
live women,1.0
look immigrants,1.0
look muslims,1.0
look women,1.0
love immigrants,1.0
love muslims,1.0
love suffer,1.0
love women,1.0
manager immigrant,1.0
manager muslim,1.0
